Name,Rating,Type,Num_of_Reviews,Highly Rated for,Critically Rated for,Location
Eastern Coalfields,4.1,Metals & Mining,(162),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Asansol +18 other locations
Interactive Avenues,3.3,Marketing & Advertising,(162),,"Promotions, Salary, Work Satisfaction",Mumbai +6 other locations
Lotus Footwear Enterprises,3.9,Fashion & Textile,(162),"Work Life Balance, Salary, Job Security",,Chennai +10 other locations
Desai Construction,4.1,Engineering & Construction,(162),"Salary, Job Security",Promotions,Valsad +21 other locations
Concentric,3.6,Industrial Machinery,(162),Job Security,"Promotions, Salary, Work Satisfaction",Bengaluru +18 other locations
DCM Infotech,3.4,IT Services & Consulting,(162),,"Promotions, Skill Development, Company Culture",New Delhi +13 other locations
Apparel Group UAE,3.4,Retail,(162),,"Promotions, Salary, Company Culture",Dubai +9 other locations
Gibraltar Technologies,3.9,IT Services & Consulting,(162),"Work Life Balance, Company Culture, Work Satisfaction",Skill Development,Bengaluru +22 other locations
Sapphire Infocom,4.8,IT Services & Consulting,(162),"Company Culture, Work Life Balance, Work Satisfaction",,Ahmedabad +4 other locations
Goel Ganga Developments,3.6,Real Estate,(162),"Work Life Balance, Job Security",Promotions,Pune +2 other locations
GKB Opticals,4.4,Retail,(162),"Company Culture, Job Security, Salary",Promotions,Kolkata +24 other locations
Envision Enterprise Solutions,2.7,IT Services & Consulting,(162),,"Salary, Promotions, Company Culture",Hyderabad +7 other locations
Aptronix - Apple Premium Reseller,3.9,Electrical Equipment,(162),"Work Life Balance, Skill Development",Promotions,Hyderabad +19 other locations
StrategicERP,4.2,Software Product,(162),"Skill Development, Company Culture, Work Life Balance",,Mumbai +10 other locations
Sindhuja Microcredit,3.7,NBFC,(162),,"Job Security, Promotions, Skill Development",Noida +60 other locations
Sarla Advantech,3.9,Engineering & Construction,(163),"Job Security, Company Culture, Work Life Balance",Promotions,Pune +13 other locations
IREP Credit Capital,4.0,Financial Services,(163),"Company Culture, Work Life Balance, Work Satisfaction",,Hyderabad +60 other locations
Roto Pumps,3.7,Industrial Machinery,(162),,"Promotions, Skill Development",Noida +9 other locations
Data Bridge Market Research,2.7,Analytics & KPO,(162),,"Job Security, Promotions, Salary",Pune +4 other locations
Elektrobit India,4.1,IT Services & Consulting,(162),"Work Life Balance, Company Culture, Job Security",Promotions,Bengaluru +2 other locations
DCM Infotech,3.4,IT Services & Consulting,(162),,"Promotions, Skill Development, Company Culture",New Delhi +13 other locations
Desai Construction,4.1,Engineering & Construction,(162),"Salary, Job Security",Promotions,Valsad +21 other locations
PMJ Gems & Jewellers,3.5,Jewellery,(162),,"Promotions, Job Security, Salary",Hyderabad +20 other locations
IREP Credit Capital,4.0,Financial Services,(163),"Company Culture, Work Life Balance, Work Satisfaction",,Hyderabad +60 other locations
Sarla Advantech,3.9,Engineering & Construction,(163),"Job Security, Company Culture, Work Life Balance",Promotions,Pune +13 other locations
Roto Pumps,3.7,Industrial Machinery,(162),,"Promotions, Skill Development",Noida +9 other locations
Sindhuja Microcredit,3.7,NBFC,(162),,"Job Security, Promotions, Skill Development",Noida +60 other locations
Solera,3.2,IT Services & Consulting,(162),,"Promotions, Company Culture, Job Security",Bengaluru +3 other locations
Webvio Technologies,4.2,IT Services & Consulting,(162),"Work Life Balance, Skill Development, Salary",,Kolkata +3 other locations
Tulip Diagnostics,3.8,Medical Equipment,(162),Work Life Balance,Promotions,Kolkata +39 other locations
TVS Upasana Engineering,3.6,Automobile,(162),,"Promotions, Salary, Work Life Balance",Hosur +7 other locations
Aditya Birla Lifestyle Brands,3.9,,(162),"Job Security, Skill Development","Salary, Promotions",Bengaluru +37 other locations
Gemini Edibles & Fats India,4.1,Food Processing,(162),"Work Life Balance, Job Security, Salary",,Kakinada +25 other locations
Parsons International,4.1,IT Services & Consulting,(161),"Work Life Balance, Company Culture, Skill Development",Job Security,Doha +14 other locations
IG Defence,4.5,,(161),"Promotions, Salary, Company Culture",,Bhubaneswar +4 other locations
Datavail Infotech,3.2,IT Services & Consulting,(161),,"Promotions, Job Security, Skill Development",Hyderabad +7 other locations
Inube Software Solutions,3.1,Software Product,(161),,"Promotions, Salary, Company Culture",Bengaluru +6 other locations
Ankur Seeds,4.1,Agriculture,(161),"Job Security, Company Culture, Work Life Balance",Promotions,Nagpur +44 other locations
Pearl Beverages,3.1,Beverage,(161),,"Promotions, Salary, Company Culture",Guntur +20 other locations
Euro School,3.6,Education & Training,(161),"Job Security, Skill Development","Promotions, Salary, Work Satisfaction",Bengaluru +17 other locations
Mosaic Wellness,3.3,Fitness & Wellness,(161),,"Job Security, Promotions, Company Culture",Mumbai +8 other locations
Gera Developments,4.1,Real Estate,(161),"Job Security, Salary",Promotions,Pune +5 other locations
Webdew,4.5,IT Services & Consulting,(161),"Company Culture, Skill Development, Work Life Balance",,Sahibzada Ajit Singh Nagar +9 other locations
Sanyo Special Steel Manufacturing,4.1,Iron & Steel,(161),"Job Security, Work Life Balance, Company Culture",Promotions,Khopoli +8 other locations
SembCorp,3.8,Power,(161),"Salary, Work Life Balance, Job Security",Promotions,Gurugram +30 other locations
Sabyasachi Couture,3.8,Fashion & Textile,(162),"Work Life Balance, Job Security","Promotions, Skill Development",Kolkata +5 other locations
Tcs And Associates,3.5,IT Services & Consulting,(161),Job Security,"Promotions, Salary, Work Satisfaction",Chennai +23 other locations
MELCO,3.5,Industrial Machinery,(161),,"Promotions, Company Culture, Job Security",Faridabad +31 other locations
CollegePur,4.7,Education & Training,(162),"Company Culture, Work Life Balance, Work Satisfaction",Salary,Ghaziabad +7 other locations
Parsons International,4.1,IT Services & Consulting,(161),"Work Life Balance, Company Culture, Skill Development",Job Security,Doha +14 other locations
Capricorn Energy,3.6,Oil & Gas,(161),Salary,"Work Satisfaction, Job Security, Promotions",Barmer +19 other locations
IG Defence,4.5,,(161),"Promotions, Salary, Company Culture",,Bhubaneswar +4 other locations
Edujobs Academy,3.1,Education & Training,(161),,"Promotions, Job Security, Company Culture",Kolkata +28 other locations
Oakridge International School,3.4,Education & Training,(162),,"Salary, Promotions, Company Culture",Hyderabad +12 other locations
AYTB,3.8,Engineering & Construction,(161),"Work Life Balance, Job Security, Work Satisfaction",Promotions,Al Jubail +15 other locations
Trayee Business Solutions,3.5,BPO,(161),,"Promotions, Salary, Company Culture",Chennai +2 other locations
Ajit Industries Pvt.Ltd,4.2,Chemicals,(161),"Work Life Balance, Company Culture, Work Satisfaction",,New Delhi +36 other locations
Mindenious Edutech,4.1,Education & Training,(161),"Company Culture, Skill Development, Work Life Balance",,Bengaluru +4 other locations
Datavail Infotech,3.2,IT Services & Consulting,(161),,"Promotions, Job Security, Skill Development",Hyderabad +7 other locations
Ankur Seeds,4.1,Agriculture,(161),"Job Security, Company Culture, Work Life Balance",Promotions,Nagpur +44 other locations
Helo.ai by VivaConnect,4.3,Telecom,(161),"Work Life Balance, Skill Development, Salary",,Mumbai +2 other locations
Meil Anpara Power,3.8,,(161),,"Promotions, Skill Development",Sonbhadra +11 other locations
Sabyasachi Couture,3.8,Fashion & Textile,(162),"Work Life Balance, Job Security","Promotions, Skill Development",Kolkata +5 other locations
Uniproducts,3.4,Auto Components,(161),,"Promotions, Salary, Company Culture",Rewari +15 other locations
Bsa Corporation,3.7,Auto Components,(161),,"Promotions, Job Security",Pune +28 other locations
Enzen Global Solutions,2.6,Power,(161),,"Promotions, Job Security, Company Culture",Bengaluru +17 other locations
SembCorp,3.8,Power,(161),"Salary, Work Life Balance, Job Security",Promotions,Gurugram +30 other locations
Webdew,4.5,IT Services & Consulting,(161),"Company Culture, Skill Development, Work Life Balance",,Sahibzada Ajit Singh Nagar +9 other locations
Gera Developments,4.1,Real Estate,(161),"Job Security, Salary",Promotions,Pune +5 other locations
Sanyo Special Steel Manufacturing,4.1,Iron & Steel,(161),"Job Security, Work Life Balance, Company Culture",Promotions,Khopoli +8 other locations
RxLogix Corporation,2.2,Software Product,(161),,"Work Life Balance, Company Culture, Work Satisfaction",Noida +5 other locations
SRV Media,3.5,Marketing & Advertising,(161),,"Work Life Balance, Work Satisfaction, Promotions",Pune +5 other locations
SOTI,3.0,Software Product,(161),,"Promotions, Skill Development, Salary",Gurugram +9 other locations
Makino,3.6,Auto Components,(161),,"Promotions, Company Culture, Salary",Bengaluru +16 other locations
Chryso,3.8,Chemicals,(161),"Job Security, Work Life Balance",Promotions,Mumbai +25 other locations
Escorts Railway Equipment Division,3.8,Industrial Machinery,(161),,Promotions,Faridabad +5 other locations
Motovolt Mobility,3.9,Automobile,(161),"Skill Development, Company Culture, Work Life Balance",,Kolkata +22 other locations
B.P. Poddar Hospital & Medical Research,3.0,Healthcare,(161),,"Promotions, Company Culture, Work Satisfaction",Kolkata +4 other locations
MELCO,3.5,Industrial Machinery,(161),,"Promotions, Company Culture, Job Security",Faridabad +31 other locations
Tcs And Associates,3.5,IT Services & Consulting,(161),Job Security,"Promotions, Salary, Work Satisfaction",Chennai +23 other locations
Modi Builders & Realtors,2.8,Engineering & Construction,(161),,"Job Security, Skill Development, Work Satisfaction",Hyderabad +3 other locations
Kaseya Software,3.3,Software Product,(161),Salary,"Promotions, Skill Development, Work Satisfaction",Bengaluru +4 other locations
Pioneer Wincon,4.4,Power,(161),"Work Life Balance, Work Satisfaction, Job Security",,Chennai +18 other locations
Manipal HealthMap,4.0,Healthcare,(161),"Skill Development, Work Life Balance, Work Satisfaction",,New Delhi +36 other locations
Samvardhana Motherson Auto Component,3.8,Electrical Equipment,(161),Job Security,Promotions,Chennai +18 other locations
Airpay Payment Services,2.8,FinTech,(161),,"Promotions, Work Satisfaction, Job Security",Mumbai +50 other locations
V S International,3.8,Pharma,(161),,,Daman & Diu +14 other locations
Kirtane & Pandit,3.5,Accounting & Auditing,(161),,"Promotions, Salary, Skill Development",Pune +11 other locations
Voith,3.7,Pulp & Paper,(161),Job Security,"Promotions, Company Culture",Noida +14 other locations
University of Delhi,4.2,Education & Training,(160),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,New Delhi +4 other locations
Chloride Metals,3.5,,(160),Job Security,"Promotions, Salary, Company Culture",Haldia +12 other locations
Rubicon Skill Development,2.5,,(160),,"Job Security, Promotions, Salary",Pune +15 other locations
Delhi Integrated Multi Modal Transit System,3.6,Government,(160),Work Life Balance,"Promotions, Skill Development, Salary",New Delhi +12 other locations
AstroTalk,3.3,Internet,(160),,"Job Security, Promotions, Work Satisfaction",Noida +11 other locations
Colgate Global Business Services,3.4,IT Services & Consulting,(160),Company Culture,"Promotions, Work Satisfaction, Salary",Mumbai +4 other locations
Lupin Diagnostics,3.9,Medical Equipment,(160),"Salary, Job Security",Promotions,Mumbai +36 other locations
Vulcan Express,3.6,Logistics,(160),,"Job Security, Work Satisfaction, Promotions",New Delhi +38 other locations
Saraswati Accountants Software,4.4,IT Services & Consulting,(161),"Skill Development, Company Culture, Job Security",,New Delhi +4 other locations
Aligarh Muslim University,4.5,Education & Training,(160),"Work Life Balance, Skill Development, Work Satisfaction",Promotions,Aligarh +10 other locations
Baggit,2.7,Fashion & Textile,(160),,"Promotions, Job Security, Skill Development",Mumbai +28 other locations
Outlook,2.8,,(160),,"Salary, Work Satisfaction, Promotions",New Delhi +14 other locations
Innovision,3.1,Facility Management Services,(160),,"Work Satisfaction, Promotions, Job Security",Gurugram +34 other locations
Bhilai Iron And Steel Processing Company,4.0,Iron & Steel,(160),"Work Life Balance, Company Culture, Skill Development",Promotions,Bhilai Nagar +11 other locations
Mahavir Die Casters,3.9,Auto Components,(160),"Company Culture, Skill Development, Salary",Promotions,Gurugram +6 other locations
Khivraj Motors,3.9,Automobile,(160),"Job Security, Work Life Balance, Skill Development",Promotions,Chennai +7 other locations
Jyote Motors,3.6,Automobile,(160),,"Promotions, Job Security, Company Culture",Bhubaneswar +12 other locations
CTX Life Science,3.7,Pharma,(160),"Job Security, Work Life Balance","Promotions, Company Culture, Salary",Surat +6 other locations
Amanta Healthcare,4.1,Pharma,(160),"Company Culture, Work Satisfaction, Job Security",,Ahmedabad +18 other locations
Shri Kshetra Dharmasthala Rural Development Project,4.1,,(160),"Company Culture, Work Life Balance, Job Security",,Bengaluru +51 other locations
Indian Steel Corporation,4.1,Iron & Steel,(160),"Job Security, Work Life Balance, Work Satisfaction",,Gandhidham +11 other locations
SoftTech Engineers Limited,3.2,Engineering & Construction,(160),,"Promotions, Salary, Company Culture",Pune +23 other locations
Banas Dairy,4.1,Food Processing,(160),"Job Security, Work Life Balance, Skill Development",Promotions,Palanpur +24 other locations
American India Foundation,3.8,Non-Profit,(160),Salary,"Job Security, Promotions",New Delhi +41 other locations
Plintron Global Technology Solutions,2.9,Telecom,(160),,"Promotions, Salary, Company Culture",Chennai +3 other locations
MedTourEasy,4.7,Internet,(160),"Company Culture, Work Life Balance, Work Satisfaction",,New Delhi +10 other locations
Enercon,4.0,Power,(160),"Work Life Balance, Company Culture, Job Security",Promotions,Bengaluru +23 other locations
TC Global,3.5,Education & Training,(160),,"Promotions, Company Culture, Job Security",New Delhi +17 other locations
Metal Power Analytical,3.3,Electronics Manufacturing,(160),,"Job Security, Promotions, Work Satisfaction",Mumbai +19 other locations
Sarvatra Technologies,4.3,IT Services & Consulting,(160),"Job Security, Company Culture, Work Life Balance",,Pune +10 other locations
Gujarat State Electricity Corporation,4.4,Government,(160),"Company Culture, Job Security, Work Life Balance",,Ahmedabad +24 other locations
Bhartiya International,3.5,Fashion & Textile,(160),,"Promotions, Work Satisfaction, Company Culture",Bengaluru +12 other locations
Prabha Engineering,3.6,Auto Components,(160),,Promotions,Pune +15 other locations
Avinash Group,3.5,Real Estate,(160),,"Job Security, Promotions, Work Satisfaction",Raipur +8 other locations
The Knowledge Academy,2.7,Education & Training,(160),,"Promotions, Company Culture, Work Satisfaction",Bengaluru +7 other locations
Deepak Novochem Technologies,4.0,Chemicals,(160),"Company Culture, Job Security, Skill Development",,Chiplun +4 other locations
K.R.Mangalam World School,4.0,Education & Training,(160),"Work Life Balance, Skill Development, Company Culture",,New Delhi +10 other locations
Tamilnadu Petroproducts,4.2,Petrochemicals,(160),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Chennai +4 other locations
Captain Tractors,4.4,Automobile,(160),"Job Security, Company Culture, Work Life Balance",,Rajkot +20 other locations
Synchronoss Technologies,4.2,Telecom,(160),"Work Life Balance, Company Culture, Work Satisfaction",,Bengaluru +4 other locations
Durr India,3.4,Industrial Automation,(160),,"Promotions, Salary, Work Satisfaction",Chennai +7 other locations
Melorra,3.1,Internet,(160),,"Promotions, Job Security, Skill Development",Bengaluru +15 other locations
Shobhit Mediworld,3.9,,(160),Skill Development,"Promotions, Salary",Lucknow +20 other locations
Rayden Interactive,2.7,IT Services & Consulting,(160),,"Job Security, Work Satisfaction, Skill Development",Pune +2 other locations
Thermo Systems India,3.9,Semiconductors,(160),"Work Life Balance, Job Security, Salary",Promotions,Hyderabad +27 other locations
AKM Global,4.0,Accounting & Auditing,(160),"Work Life Balance, Company Culture, Work Satisfaction",,Gurugram +12 other locations
Euronics Industries,3.5,Building Material,(160),,"Job Security, Promotions, Work Satisfaction",Gurugram +18 other locations
Hestabit Technologies,3.8,IT Services & Consulting,(159),"Skill Development, Salary",,Noida +5 other locations
Atotech,3.9,Chemicals,(159),"Work Life Balance, Company Culture","Promotions, Salary",Gurugram +11 other locations
The Calcutta Medical Research Institute,3.8,Healthcare,(160),,"Promotions, Salary, Work Satisfaction",Kolkata +5 other locations
Sberbank Branch in India,3.1,Banking,(160),,"Promotions, Company Culture, Skill Development",Bengaluru +5 other locations
Atotech,3.9,Chemicals,(159),"Work Life Balance, Company Culture","Promotions, Salary",Gurugram +11 other locations
Srijan Technologies,3.1,IT Services & Consulting,(159),,"Job Security, Promotions, Skill Development",New Delhi +13 other locations
Lotus Wireless Technologies,3.2,IT Services & Consulting,(159),,"Promotions, Company Culture, Work Life Balance",Visakhapatnam +16 other locations
Conserve Solution,3.9,Engineering & Construction,(159),"Skill Development, Company Culture, Work Satisfaction",,Chennai +8 other locations
Sampark Logistics,3.4,Logistics,(159),,"Promotions, Salary, Work Life Balance",Faridabad +21 other locations
Ocl Iron & Steel,3.6,Iron & Steel,(159),,"Promotions, Company Culture, Job Security",Rourkela +16 other locations
Dixcy Textiles,4.2,,(159),"Work Life Balance, Company Culture, Salary",Promotions,Bengaluru +35 other locations
JCBL,3.5,Automobile,(159),,"Promotions, Job Security, Work Satisfaction",Chandigarh +18 other locations
BlueBinaries Engineering and Solutions,2.6,Software Product,(159),,"Work Satisfaction, Job Security, Promotions",Bengaluru +5 other locations
Isprava,3.1,Real Estate,(160),,"Promotions, Job Security, Work Satisfaction",Mumbai +9 other locations
LC Infra Projects,3.9,Engineering & Construction,(159),Salary,Promotions,Ahmedabad +32 other locations
Badri Rai and Company,3.8,Engineering & Construction,(159),,"Promotions, Salary",Guwahati +19 other locations
Him Teknoforge,3.5,Auto Components,(159),,"Company Culture, Promotions, Work Satisfaction",Baddi +13 other locations
Data Template Infotech,3.7,IT Services & Consulting,(159),Skill Development,"Promotions, Salary",Bengaluru +4 other locations
Unirac,3.9,Power,(159),"Salary, Company Culture","Job Security, Promotions",Hyderabad +3 other locations
Echelon Institute of Technology,4.3,Education & Training,(159),"Work Life Balance, Skill Development, Company Culture",,Faridabad +5 other locations
5K Car Care,4.4,Other,(159),"Work Satisfaction, Job Security, Skill Development",,Coimbatore +13 other locations
StoreKing,3.2,Internet,(159),,"Job Security, Promotions, Work Satisfaction",Bengaluru +19 other locations
EMB Global,4.3,Internet,(159),"Company Culture, Work Satisfaction, Skill Development",,Gurugram +2 other locations
Sikka Group,3.5,Real Estate,(159),,"Promotions, Job Security, Salary",New Delhi +11 other locations
NetProphets Cyberworks,3.5,IT Services & Consulting,(160),,"Promotions, Job Security, Salary",Noida +16 other locations
TripFactory,2.0,Travel & Tourism,(159),,"Job Security, Promotions, Company Culture",Bengaluru +14 other locations
ValGenesis,3.0,Software Product,(159),,"Company Culture, Work Satisfaction, Job Security",Chennai +5 other locations
BlueBinaries Engineering and Solutions,2.6,Software Product,(159),,"Work Satisfaction, Job Security, Promotions",Bengaluru +5 other locations
Indian Armed Forces,4.6,Government,(159),"Job Security, Work Satisfaction, Skill Development",,New Delhi +40 other locations
F5 Networks,3.2,IT Services & Consulting,(159),,"Job Security, Promotions, Work Satisfaction",Hyderabad +5 other locations
Inshorts,3.4,Internet,(159),,"Job Security, Promotions, Skill Development",Noida +11 other locations
Paushak,3.7,Chemicals,(159),,"Promotions, Company Culture, Work Satisfaction",Vadodara +6 other locations
Srijan Technologies,3.1,IT Services & Consulting,(159),,"Job Security, Promotions, Skill Development",New Delhi +13 other locations
Ambrane India,4.6,Consumer Electronics & Appliances,(159),"Company Culture, Work Life Balance, Work Satisfaction",,New Delhi +10 other locations
SugarFit,4.0,Healthcare,(159),"Salary, Skill Development, Company Culture",,Bengaluru +4 other locations
TI METAL FORMING,4.0,Auto Components,(159),Work Life Balance,"Promotions, Salary",Chennai +14 other locations
Vehant Technologies,4.0,IT Services & Consulting,(159),"Job Security, Company Culture, Work Life Balance",,Noida +17 other locations
E C R Buildtech,4.0,Engineering & Construction,(160),Skill Development,Promotions,New Delhi +32 other locations
Nitika Pharmaceutical Specialities,3.5,Pharma,(159),,"Promotions, Work Life Balance, Work Satisfaction",Nagpur +3 other locations
TV9 Network,3.6,Media & Entertainment,(159),Job Security,"Promotions, Salary, Skill Development",Noida +12 other locations
Futran Solutions,3.9,Software Product,(159),"Company Culture, Work Life Balance, Salary",,Hyderabad +3 other locations
Isprava,3.1,Real Estate,(160),,"Promotions, Job Security, Work Satisfaction",Mumbai +9 other locations
JCBL,3.5,Automobile,(159),,"Promotions, Job Security, Work Satisfaction",Chandigarh +18 other locations
Ocl Iron & Steel,3.6,Iron & Steel,(159),,"Promotions, Company Culture, Job Security",Rourkela +16 other locations
TV9 Network,3.6,Media & Entertainment,(159),Job Security,"Promotions, Salary, Skill Development",Noida +12 other locations
Inshorts,3.4,Internet,(159),,"Job Security, Promotions, Skill Development",Noida +11 other locations
Paushak,3.7,Chemicals,(159),,"Promotions, Company Culture, Work Satisfaction",Vadodara +6 other locations
TI METAL FORMING,4.0,Auto Components,(159),Work Life Balance,"Promotions, Salary",Chennai +14 other locations
SugarFit,4.0,Healthcare,(159),"Salary, Skill Development, Company Culture",,Bengaluru +4 other locations
Futran Solutions,3.9,Software Product,(159),"Company Culture, Work Life Balance, Salary",,Hyderabad +3 other locations
Sony Pictures Networks,3.5,,(159),,"Promotions, Job Security, Skill Development",Mumbai +21 other locations
NELCAST,3.6,Iron & Steel,(160),Job Security,"Promotions, Salary, Company Culture",Chennai +9 other locations
GIRDHARI LAL CONSTRUCTIONS,3.9,Engineering & Construction,(159),Salary,,New Delhi +25 other locations
Hirschvogel Components,4.0,Auto Components,(159),"Company Culture, Work Life Balance, Job Security","Promotions, Salary",Pune +4 other locations
Basicfirst Learning,2.7,EdTech,(158),,"Job Security, Salary, Company Culture",New Delhi +25 other locations
IndianOil Skytanking,3.1,Oil & Gas,(158),,"Promotions, Skill Development, Company Culture",New Delhi +14 other locations
MGM Medical College & Hospital,3.9,Healthcare,(158),"Skill Development, Work Life Balance, Job Security",Promotions,Chhatrapati Sambhajinagar +16 other locations
Rorito International,4.0,Other,(158),"Work Life Balance, Job Security, Work Satisfaction",Promotions,Chennai +36 other locations
Avantha Technologies,3.5,IT Services & Consulting,(158),,"Promotions, Job Security, Skill Development",Gurugram +11 other locations
CLIRNet,3.6,Internet,(158),,"Promotions, Work Satisfaction, Job Security",Kolkata +1 other locations
Vee Gee Auto Components,4.0,Auto Components,(158),"Skill Development, Salary, Job Security",,Ahmedabad +8 other locations
MoreTasks,4.2,IT Services & Consulting,(158),"Company Culture, Skill Development, Work Life Balance",,Gurugram +2 other locations
Chandan Healthcare,3.3,Healthcare,(158),,"Work Satisfaction, Promotions, Company Culture",Lucknow +16 other locations
SECON Private Limited Bangalore INDIA,3.2,Engineering & Construction,(158),,"Salary, Promotions, Work Life Balance",Bengaluru +16 other locations
Axis Securities and Sales,3.5,,(158),,"Promotions, Work Satisfaction, Skill Development",Mumbai +60 other locations
Silver Consumer Electricals,3.2,Industrial Machinery,(158),,"Job Security, Company Culture, Skill Development",Rajkot +34 other locations
Khushi Advertising Ideas Private Limited,4.4,Marketing & Advertising,(158),"Company Culture, Work Satisfaction, Job Security",,Mumbai +22 other locations
Nehru Yuva Kendra Sangathan,4.4,Non-Profit,(158),"Skill Development, Company Culture, Work Satisfaction","Promotions, Job Security",New Delhi +91 other locations
IndianOil Skytanking,3.1,Oil & Gas,(158),,"Promotions, Skill Development, Company Culture",New Delhi +14 other locations
Rorito International,4.0,Other,(158),"Work Life Balance, Job Security, Work Satisfaction",Promotions,Chennai +36 other locations
CLIRNet,3.6,Internet,(158),,"Promotions, Work Satisfaction, Job Security",Kolkata +1 other locations
Vihaan Networks,4.1,Telecom,(158),"Work Life Balance, Company Culture, Work Satisfaction",,Gurugram +22 other locations
Avantha Technologies,3.5,IT Services & Consulting,(158),,"Promotions, Job Security, Skill Development",Gurugram +11 other locations
Shivalik Rasayan,3.6,Agro Chemicals,(158),,"Promotions, Salary, Company Culture",Bharuch +14 other locations
Simple Logic IT,3.4,IT Services & Consulting,(158),,"Promotions, Work Satisfaction, Company Culture",Mumbai +3 other locations
Toll Group,3.9,Logistics,(158),"Work Life Balance, Company Culture, Work Satisfaction",,Pune +20 other locations
HexaView Technologies,3.3,IT Services & Consulting,(158),,"Promotions, Job Security, Salary",Noida +5 other locations
SECON Private Limited Bangalore INDIA,3.2,Engineering & Construction,(158),,"Salary, Promotions, Work Life Balance",Bengaluru +16 other locations
Aurolab,3.7,Medical Equipment,(158),Skill Development,"Promotions, Salary",Madurai +31 other locations
Planit Testing India,3.4,IT Services & Consulting,(158),,"Promotions, Company Culture, Work Satisfaction",Hyderabad +5 other locations
Uno Minda Kyoraku,3.9,Automobile,(158),"Job Security, Skill Development, Salary",Promotions,Bawal +11 other locations
Hind Terminals,4.1,Logistics,(158),"Job Security, Work Life Balance, Salary",,Mumbai +21 other locations
Horizontal Integration,3.4,IT Services & Consulting,(158),,"Job Security, Promotions, Skill Development",Bengaluru +12 other locations
Naaraayani Sons,3.6,Metals & Mining,(158),,"Promotions, Company Culture, Work Life Balance",Kolkata +20 other locations
Axis Mutual Fund,3.8,Financial Services,(158),Work Life Balance,"Work Satisfaction, Promotions, Skill Development",Mumbai +43 other locations
Takahata Precision,4.2,Auto Components,(158),"Job Security, Company Culture, Work Life Balance",Promotions,Neemrana +5 other locations
Bankai Infotech,3.2,IT Services & Consulting,(158),,"Promotions, Skill Development, Company Culture",Ahmedabad +7 other locations
MRI Software,3.1,Software Product,(158),,"Promotions, Salary, Work Satisfaction",Bengaluru +7 other locations
Sundyota Numandis Pharmaceuticals,3.8,Pharma,(158),,,Ahmedabad +29 other locations
Unicorn DenMart,3.9,Medical Equipment,(158),"Skill Development, Work Life Balance, Work Satisfaction",,New Delhi +22 other locations
CBTS TECHNOLOGY SOLUTIONS INDIA LLP,3.9,IT Services & Consulting,(158),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Chennai +4 other locations
Vasant Masala,4.1,Retail,(158),"Company Culture, Work Life Balance, Salary",Promotions,Ahmedabad +24 other locations
Oerlikon Balzers,3.7,Metals & Mining,(158),,"Promotions, Work Satisfaction, Skill Development",Pune +18 other locations
Delval Flow Controls,4.2,Industrial Machinery,(158),"Job Security, Company Culture, Work Life Balance",,Pune +8 other locations
Diversey,3.9,Chemicals,(158),"Company Culture, Skill Development, Salary",,Mumbai +31 other locations
FreshMenu,3.2,Hospitality,(158),,"Job Security, Work Satisfaction, Promotions",Bengaluru +10 other locations
YuppTV,3.4,Broadcasting,(158),,"Promotions, Salary, Company Culture",Hyderabad +4 other locations
ARDEE INDUSTRIES LIMITED,4.0,Metals & Mining,(158),"Salary, Company Culture, Work Life Balance",,New Delhi +12 other locations
Apollomedics Super Speciality Hospitals,4.1,Healthcare,(158),"Job Security, Skill Development, Work Life Balance",,Lucknow +5 other locations
Outscale Partners,2.6,IT Services & Consulting,(158),,"Company Culture, Work Satisfaction, Promotions",Gurugram +3 other locations
Quba Architectural Products,4.3,Architecture & Interior Design,(159),"Salary, Company Culture, Work Life Balance",,Mumbai +25 other locations
Inorbit Mall,4.1,Retail,(158),"Skill Development, Work Satisfaction, Job Security",,Mumbai +8 other locations
Chennais Amirta Group of Institutions,3.8,Education & Training,(158),Salary,Promotions,Chennai +16 other locations
Texila Educational And Management Services,3.9,Education & Training,(158),"Skill Development, Company Culture, Work Life Balance",,Coimbatore +7 other locations
Cadeploy Engineering,3.3,Engineering & Construction,(158),,"Job Security, Promotions, Skill Development",Hyderabad +6 other locations
Tarento Technologies,3.6,IT Services & Consulting,(158),,"Promotions, Salary, Work Satisfaction",Bengaluru +5 other locations
Sun Flag Steel,3.5,Iron & Steel,(158),,"Promotions, Company Culture, Salary",Bhandara +10 other locations
Suraksha Gold Industries Private Limited,4.4,Building Material,(158),"Company Culture, Work Life Balance, Salary",,New Delhi +30 other locations
FreshToHome,3.6,Hospitality,(158),,"Promotions, Salary, Job Security",Bengaluru +20 other locations
IonIdea,3.0,Software Product,(158),,"Promotions, Skill Development, Work Satisfaction",Bengaluru +10 other locations
Ecozen Solutions,4.1,Industrial Automation,(158),"Company Culture, Job Security, Work Life Balance",Promotions,Pune +20 other locations
Qatargas,4.6,Oil & Gas,(157),"Work Satisfaction, Skill Development, Company Culture",,Mumbai +15 other locations
CCS Computers,3.8,IT Services & Consulting,(157),"Job Security, Work Life Balance","Promotions, Skill Development",New Delhi +23 other locations
WAE,3.3,Waste Management,(157),,"Job Security, Promotions, Company Culture",Noida +13 other locations
